cell_id,landslide_count,record_ids,label
645_1032,1,26704,1
645_510,1,26395,1
645_637,1,26820,1
645_642,1,26819,1
647_1034,1,26705,1
647_542,1,26469,1
648_1030,1,26703,1
650_513,1,26408,1
652_1018,1,26701,1
652_515,1,26416,1
655_512,1,26401,1
656_1008,1,26700,1
657_1007,2,"26698,26699",1
658_575,1,26500,1
659_576,2,"26503,26504",1
660_1004,1,26697,1
660_520,1,26430,1
660_577,1,26507,1
661_1004,1,26696,1
661_579,1,26509,1
661_798,1,26826,1
662_798,1,26646,1
663_798,1,26645,1
664_436,1,26241,1
664_518,1,26427,1
665_1000,1,26695,1
665_436,1,26711,1
665_797,1,26827,1
667_826,1,26729,1
670_680,1,26605,1
674_841,1,26673,1
678_841,1,26672,1
679_840,1,26733,1
681_836,1,26667,1
682_700,2,"26622,26623",1
682_830,1,26661,1
682_832,1,26663,1
683_833,1,26664,1
685_800,1,26647,1
688_812,1,26651,1
689_462,1,26285,1
690_463,1,26286,1
690_466,1,26292,1
690_552,1,26482,1
691_453,1,26270,1
692_978,1,26693,1
694_455,1,26275,1
695_815,1,26655,1
697_813,1,26824,1
698_438,2,"26244,26246",1
698_814,1,26654,1
698_962,1,26691,1
699_439,1,26247,1
699_813,1,26653,1
699_834,1,26665,1
700_491,1,26347,1
700_541,1,26463,1
700_614,1,26533,1
700_713,2,"26629,26630",1
700_812,1,26650,1
702_453,1,26271,1
702_951,1,26690,1
703_492,1,26351,1
703_817,1,26656,1
704_489,2,"26337,26338",1
705_442,1,26250,1
705_813,1,26652,1
705_835,1,26732,1
706_819,1,26657,1
707_821,1,26658,1
707_938,1,26689,1
708_495,1,26361,1
710_465,1,26290,1
710_704,1,26624,1
712_713,1,26628,1
713_669,1,26602,1
714_915,1,26681,1
714_917,1,26682,1
715_692,2,"26618,26619",1
715_926,1,26686,1
717_641,1,26557,1
718_841,1,26730,1
719_841,1,26671,1
719_913,1,26680,1
720_667,1,26599,1
720_691,2,"26613,26614",1
721_483,1,26330,1
721_602,1,26526,1
721_691,1,26612,1
722_666,2,"26595,26596",1
722_691,3,"26615,26616,26617",1
724_645,1,26569,1
724_665,1,26593,1
725_685,1,26611,1
725_830,1,26660,1
726_607,1,26529,1
726_685,1,26610,1
727_445,1,26255,1
727_501,2,"26371,26372",1
728_606,1,26528,1
729_645,1,26572,1
730_648,1,26577,1
731_651,1,26582,1
732_654,1,26589,1
732_833,1,26662,1
734_444,1,26253,1
736_445,1,26254,1
736_487,1,26335,1
738_651,1,26766,1
738_654,1,26590,1
738_836,1,26666,1
739_651,1,26724,1
739_652,1,26585,1
740_449,1,26259,1
741_837,1,26668,1
742_554,1,26484,1
742_839,1,26669,1
743_450,1,26262,1
744_844,1,26675,1
746_490,1,26343,1
747_866,1,26676,1
747_903,1,26677,1
748_455,1,26273,1
748_594,1,26518,1
749_593,1,26517,1
749_859,1,26825,1
749_883,1,26821,1
750_841,1,26670,1
750_843,1,26674,1
750_850,1,26823,1
750_866,1,26822,1
750_906,1,26678,1
752_443,1,26251,1
752_908,1,26679,1
753_473,1,26313,1
754_633,1,26540,1
758_453,1,26269,1
758_473,1,26312,1
760_455,1,26272,1
760_507,1,26380,1
760_513,1,26402,1
762_449,1,26260,1
767_452,1,26265,1
768_452,1,26267,1
774_458,1,26282,1
776_641,1,26555,1
777_459,1,26283,1
778_639,1,26549,1
778_640,1,26551,1
780_925,1,26683,1
781_458,1,26279,1
782_640,1,26552,1
785_639,1,26550,1
787_642,1,26556,1
787_927,1,26685,1
789_652,1,26583,1
790_456,1,26277,1
790_638,1,26546,1
790_652,1,26584,1
790_926,1,26684,1
794_509,1,26386,1
795_648,1,26575,1
797_514,1,26403,1
798_514,1,26404,1
798_649,1,26578,1
800_474,1,26309,1
801_654,1,26586,1
805_515,1,26409,1
806_513,1,26398,1
806_645,1,26567,1
806_935,1,26687,1
806_937,1,26688,1
808_640,1,26553,1
808_641,1,26554,1
809_637,2,"26543,26544",1
811_512,1,26391,1
812_517,1,26418,1
813_639,1,26547,1
814_518,1,26816,1
815_507,1,26379,1
818_643,1,26559,1
820_643,1,26560,1
822_524,1,26818,1
824_651,1,26580,1
825_646,1,26570,1
826_645,1,26565,1
827_524,1,26817,1
827_978,1,26692,1
830_643,1,26561,1
832_990,1,26694,1
837_643,1,26558,1
864_648,1,26573,1
867_649,1,26574,1
874_637,1,26542,1
880_646,1,26564,1
885_511,1,26387,1
885_634,1,26538,1
886_522,1,26429,1
887_524,1,26433,1
888_520,1,26423,1
889_524,1,26432,1
892_524,1,26431,1
892_639,1,26545,1
897_647,1,26571,1
903_541,1,26455,1
906_656,1,26588,1
909_653,1,26581,1
914_551,1,26479,1
919_555,1,26481,1
932_635,1,26539,1
934_580,1,26501,1
936_632,1,26537,1
937_628,1,26536,1
