cell_id,label,block_id
202_1166,0,60_308
202_1269,0,60_309
203_393,1,60_300
204_389,1,60_300
204_786,0,60_304
206_1313,0,60_309
207_398,1,60_300
207_551,1,60_301
208_541,1,60_301
208_542,1,60_301
208_550,1,60_301
209_1184,0,60_308
209_1258,0,60_309
209_1337,0,60_309
212_536,1,60_301
212_538,1,60_301
214_536,1,60_301
218_793,0,61_304
221_1601,0,61_312
223_498,1,61_301
224_1401,0,61_310
225_41,0,61_296
226_699,0,61_303
227_1644,0,61_312
228_721,0,61_303
231_1310,0,61_309
234_382,1,61_300
236_1344,0,61_309
237_46,0,61_296
243_522,1,61_301
244_467,0,61_301
244_1230,0,61_308
245_766,0,61_304
246_43,0,61_296
246_358,1,61_300
247_358,1,61_300
247_361,1,61_300
247_523,1,61_301
248_366,1,61_300
248_398,1,61_300
248_404,1,61_300
249_358,1,61_300
250_362,1,61_300
250_404,1,61_300
250_522,1,61_301
250_1510,0,61_311
251_407,1,61_300
251_505,1,61_301
251_510,1,61_301
252_358,1,61_300
252_509,1,61_301
254_507,1,61_301
256_365,1,61_300
256_1265,0,61_309
258_206,0,61_298
258_678,0,61_303
258_1217,0,61_308
260_357,1,61_300
260_358,1,61_300
262_507,1,61_301
262_1643,0,61_312
264_1413,0,61_310
266_413,1,61_300
266_545,0,61_301
267_413,1,61_300
268_406,1,61_300
271_508,1,61_301
272_1254,0,61_309
273_523,1,61_301
275_1336,0,61_309
277_511,1,61_301
278_398,1,61_300
278_421,0,61_300
279_381,1,61_300
280_522,1,61_301
282_49,0,61_296
282_503,1,61_301
282_1317,0,61_309
283_447,0,61_300
283_522,1,61_301
283_1342,0,61_309
287_381,1,61_300
288_502,1,61_301
289_1159,0,61_308
290_389,1,61_300
290_496,1,61_301
290_497,1,61_301
292_192,0,61_298
292_534,1,61_301
293_535,1,61_301
294_537,1,61_301
295_538,1,61_301
295_704,0,61_303
296_534,1,61_301
297_393,1,61_300
297_422,1,61_300
297_537,1,61_301
298_424,1,61_300
300_218,0,61_298
300_539,1,61_301
301_14,0,61_296
302_513,1,61_301
302_539,1,61_301
302_1466,0,61_311
304_429,1,61_300
305_463,1,61_301
308_510,1,61_301
311_430,1,61_300
312_430,1,61_300
313_1582,0,61_312
314_442,1,61_300
314_1575,0,61_312
315_467,1,61_301
315_505,1,61_301
315_1482,0,61_311
316_50,0,61_296
317_380,1,61_300
318_584,1,62_302
318_593,1,62_302
320_406,1,62_300
320_590,1,62_302
321_1016,0,62_306
323_558,1,62_302
323_585,1,62_302
324_579,1,62_302
328_603,1,62_302
328_1011,0,62_306
330_410,1,62_300
331_361,1,62_300
331_600,1,62_302
331_1374,0,62_310
333_646,0,62_302
334_359,1,62_300
334_406,1,62_300
334_764,0,62_304
335_896,0,62_305
336_399,1,62_300
337_398,1,62_300
337_820,0,62_304
338_294,0,62_299
338_924,0,62_305
338_1072,0,62_307
338_1406,0,62_310
338_1654,0,62_313
343_359,1,62_300
346_836,0,62_304
350_606,1,62_302
351_413,1,62_300
355_106,0,62_297
355_852,0,62_304
356_608,0,62_302
358_1363,0,62_310
360_264,0,62_299
360_1070,0,62_307
363_189,0,62_298
363_966,0,62_306
368_367,1,62_300
368_829,0,62_304
372_119,0,62_297
372_368,1,62_300
373_448,1,62_300
373_717,0,62_303
376_613,1,62_302
376_614,1,62_302
381_395,1,62_300
382_638,0,62_302
383_922,0,62_305
384_1393,0,62_310
386_685,0,62_303
388_927,0,62_305
391_315,0,62_299
393_437,1,62_300
394_671,0,62_303
394_1503,0,62_311
395_1491,0,62_311
396_198,0,62_298
396_1560,0,62_312
397_969,0,62_306
398_366,1,62_300
398_393,0,62_300
398_612,0,62_302
398_636,0,62_302
398_724,0,62_303
399_176,0,62_298
400_148,0,62_297
405_401,1,62_300
406_394,0,62_300
408_650,1,62_302
409_663,1,62_303
410_662,1,62_303
410_712,0,62_303
411_386,1,62_300
412_399,1,62_300
412_660,1,62_303
413_231,0,62_298
413_656,1,62_303
413_847,0,62_304
414_365,1,62_300
414_425,1,62_300
415_392,1,62_300
416_384,1,62_300
419_394,1,63_300
419_1157,0,63_308
420_476,0,63_301
422_365,1,63_300
424_174,0,63_298
424_402,1,63_300
425_362,1,63_300
425_396,1,63_300
425_431,1,63_300
426_225,0,63_298
426_461,1,63_301
426_780,0,63_304
427_810,0,63_304
428_451,1,63_300
428_454,1,63_301
430_437,1,63_300
431_493,1,63_301
435_1590,0,63_312
437_491,1,63_301
441_401,0,63_300
445_369,1,63_300
445_447,1,63_300
446_365,1,63_300
447_1052,0,63_306
448_373,1,63_300
448_377,1,63_300
448_400,1,63_300
449_361,1,63_300
449_400,1,63_300
450_489,1,63_301
450_532,0,63_301
452_484,1,63_301
452_495,1,63_301
452_529,0,63_301
452_784,0,63_304
453_391,1,63_300
453_400,1,63_300
453_407,1,63_300
453_408,1,63_300
453_411,1,63_300
453_1353,0,63_309
454_496,1,63_301
455_445,1,63_300
457_503,0,63_301
457_1000,0,63_306
458_197,0,63_298
458_494,1,63_301
459_415,1,63_300
459_447,1,63_300
459_1218,0,63_308
460_1285,0,63_309
463_1201,0,63_308
464_214,0,63_298
466_1167,0,63_308
468_413,1,63_300
472_104,0,63_297
472_500,0,63_301
472_543,1,63_301
472_912,0,63_305
473_380,1,63_300
473_381,1,63_300
473_540,1,63_301
474_421,1,63_300
474_471,1,63_301
475_374,1,63_300
475_386,1,63_300
475_1305,0,63_309
476_163,0,63_298
476_416,1,63_300
476_474,1,63_301
477_475,1,63_301
477_1226,0,63_308
478_384,1,63_300
480_471,1,63_301
480_517,1,63_301
482_479,1,63_301
482_483,1,63_301
483_365,1,63_300
483_403,1,63_300
486_416,1,63_300
488_406,1,63_300
488_504,1,63_301
489_364,1,63_300
489_371,1,63_300
489_412,1,63_300
489_418,1,63_300
489_419,1,63_300
489_470,1,63_301
491_371,1,63_300
491_416,1,63_300
491_442,1,63_300
491_456,1,63_301
491_1386,0,63_310
492_508,1,63_301
492_528,1,63_301
492_909,0,63_305
493_355,0,63_300
493_441,1,63_300
494_471,1,63_301
494_508,1,63_301
495_374,1,63_300
495_395,1,63_300
495_397,1,63_300
495_435,1,63_300
495_450,1,63_300
495_461,1,63_301
495_469,1,63_301
495_1418,0,63_310
496_376,1,63_300
496_463,1,63_301
496_465,1,63_301
497_464,1,63_301
497_527,1,63_301
497_916,0,63_305
499_373,1,63_300
499_1383,0,63_310
500_427,1,63_300
500_508,1,63_301
501_470,1,63_301
501_529,1,63_301
501_531,1,63_301
503_461,1,63_301
505_410,1,63_300
506_378,1,63_300
506_420,1,63_300
506_422,1,63_300
506_464,1,63_301
507_422,1,63_300
508_1254,0,63_309
509_374,1,63_300
510_407,1,63_300
512_511,0,63_301
515_405,1,63_300
516_395,1,63_300
517_370,1,63_300
517_406,1,63_300
518_538,1,64_301
519_403,1,64_300
520_446,0,64_300
520_574,1,64_302
521_410,1,64_300
521_571,1,64_302
521_736,0,64_303
522_511,1,64_301
522_558,1,64_302
524_401,1,64_300
524_1025,0,64_306
526_513,1,64_301
527_361,0,64_300
527_403,1,64_300
527_479,0,64_301
531_402,1,64_300
533_95,0,64_297
533_421,1,64_300
533_516,1,64_301
533_525,1,64_301
533_527,1,64_301
534_423,1,64_300
535_399,1,64_300
535_562,1,64_302
535_1002,0,64_306
536_487,1,64_301
539_87,0,64_297
539_536,1,64_301
539_999,0,64_306
540_410,1,64_300
540_1507,0,64_311
542_393,1,64_300
542_1519,0,64_311
545_453,1,64_300
546_369,1,64_300
546_455,1,64_301
547_369,1,64_300
547_397,1,64_300
548_402,1,64_300
548_409,1,64_300
549_364,1,64_300
549_640,0,64_302
550_455,1,64_301
551_633,1,64_302
552_593,1,64_302
553_61,0,64_297
556_419,1,64_300
558_636,1,64_302
559_21,0,64_296
562_407,1,64_300
562_504,1,64_301
564_748,0,64_303
566_408,1,64_300
566_414,1,64_300
566_970,0,64_306
570_402,1,64_300
583_493,1,64_301
587_470,0,64_301
587_492,1,64_301
588_407,1,64_300
589_492,1,64_301
589_493,1,64_301
589_500,0,64_301
590_414,1,64_300
592_410,1,64_300
592_748,0,64_303
593_445,1,64_300
593_593,1,64_302
593_607,0,64_302
594_452,0,64_300
594_475,1,64_301
595_402,1,64_300
595_406,1,64_300
596_477,1,64_301
596_480,1,64_301
597_398,1,64_300
598_397,1,64_300
600_410,1,64_300
600_634,0,64_302
601_1652,0,64_312
604_398,1,64_300
604_436,1,64_300
604_485,1,64_301
607_142,0,64_297
607_576,1,64_302
608_488,1,64_301
609_405,1,64_300
609_488,1,64_301
610_488,1,64_301
610_595,1,64_302
610_1049,0,64_306
611_429,1,64_300
611_489,1,64_301
611_737,0,64_303
612_489,1,64_301
613_406,1,64_300
613_427,1,64_300
613_715,1,64_303
614_407,1,64_300
614_699,1,64_303
614_707,1,64_303
614_713,1,64_303
614_1649,0,64_312
615_710,1,64_303
616_401,1,64_300
616_402,1,64_300
616_405,1,64_300
616_406,1,64_300
616_490,1,64_301
616_683,1,64_303
616_692,1,64_303
617_665,1,64_303
617_1559,0,64_312
618_403,1,65_300
619_667,1,65_303
619_724,1,65_303
620_413,0,65_300
621_427,1,65_300
622_738,1,65_303
623_426,1,65_300
623_1379,0,65_310
624_377,0,65_300
625_402,1,65_300
626_401,1,65_300
626_498,1,65_301
626_499,1,65_301
626_533,0,65_301
626_711,1,65_303
626_712,1,65_303
627_713,1,65_303
627_758,1,65_304
627_762,1,65_304
628_762,1,65_304
628_1374,0,65_310
629_760,1,65_304
630_759,1,65_304
631_766,1,65_304
633_506,1,65_301
634_1356,0,65_310
635_505,1,65_301
636_425,1,65_300
636_522,1,65_301
636_783,1,65_304
637_791,1,65_304
638_800,1,65_304
638_1057,1,65_307
639_392,0,65_300
639_1151,0,65_307
641_800,1,65_304
641_823,0,65_304
642_642,1,65_302
642_646,1,65_302
643_643,1,65_302
643_681,1,65_303
644_509,1,65_301
645_138,0,65_297
645_173,0,65_298
645_510,1,65_301
645_637,1,65_302
645_642,1,65_302
647_542,1,65_301
649_1368,0,65_310
650_513,1,65_301
651_1624,0,65_312
652_418,0,65_300
652_515,1,65_301
654_952,0,65_305
655_512,1,65_301
655_1178,0,65_308
656_324,0,65_299
657_85,0,65_297
658_575,1,65_302
659_576,1,65_302
660_520,1,65_301
660_577,1,65_302
660_681,0,65_303
661_579,1,65_302
661_798,1,65_304
662_496,0,65_301
662_798,1,65_304
663_192,0,65_298
663_798,1,65_304
664_436,1,65_300
664_518,1,65_301
664_552,0,65_301
665_191,0,65_298
665_436,1,65_300
665_797,1,65_304
666_786,0,65_304
666_1210,0,65_308
667_826,1,65_304
668_1439,0,65_310
670_680,1,65_303
670_1073,0,65_307
674_841,1,65_304
675_428,0,65_300
676_677,0,65_303
677_766,0,65_304
677_822,0,65_304
678_841,1,65_304
678_1443,0,65_310
679_840,1,65_304
681_836,1,65_304
681_945,0,65_305
682_700,1,65_303
682_830,1,65_304
682_832,1,65_304
682_889,0,65_305
683_833,1,65_304
683_1168,0,65_308
684_539,0,65_301
685_800,1,65_304
686_1225,0,65_308
688_812,1,65_304
688_1556,0,65_312
688_1616,0,65_312
689_462,1,65_301
690_463,1,65_301
690_466,1,65_301
690_552,1,65_301
691_75,0,65_297
691_421,0,65_300
691_453,1,65_300
693_857,0,65_305
694_455,1,65_301
694_1647,0,65_312
695_815,1,65_304
697_813,1,65_304
698_299,0,65_299
698_438,1,65_300
698_814,1,65_304
699_342,0,65_299
699_439,1,65_300
699_780,0,65_304
699_813,1,65_304
699_834,1,65_304
700_491,1,65_301
700_541,1,65_301
700_614,1,65_302
700_713,1,65_303
700_812,1,65_304
702_453,1,65_300
702_951,1,65_305
702_1183,0,65_308
703_492,1,65_301
703_654,0,65_303
703_817,1,65_304
703_1649,0,65_312
704_489,1,65_301
705_442,1,65_300
705_813,1,65_304
705_835,1,65_304
706_75,0,65_297
706_819,1,65_304
707_586,0,65_302
707_821,1,65_304
707_938,1,65_305
708_495,1,65_301
709_331,0,65_299
710_465,1,65_301
710_704,1,65_303
712_482,0,65_301
712_713,1,65_303
713_669,1,65_303
714_190,0,65_298
714_915,1,65_305
714_917,1,65_305
715_692,1,65_303
715_926,1,65_305
716_753,0,65_303
717_222,0,65_298
717_641,1,65_302
718_841,1,66_304
719_841,1,66_304
719_913,1,66_305
720_667,1,66_303
720_691,1,66_303
721_691,1,66_303
721_1282,0,66_309
722_666,1,66_303
722_691,1,66_303
723_1336,0,66_309
724_665,1,66_303
725_685,1,66_303
725_830,1,66_304
726_685,1,66_303
727_445,1,66_300
728_350,0,66_299
732_654,1,66_303
732_689,0,66_303
732_833,1,66_304
734_444,1,66_300
734_749,0,66_303
736_445,1,66_300
738_654,1,66_303
738_836,1,66_304
739_864,0,66_305
740_137,0,66_297
740_449,1,66_300
740_937,0,66_305
741_64,0,66_297
741_276,0,66_299
741_837,1,66_304
742_839,1,66_304
743_450,1,66_300
744_844,1,66_304
747_866,1,66_305
747_903,1,66_305
749_859,1,66_305
749_883,1,66_305
750_433,0,66_300
750_841,1,66_304
750_843,1,66_304
750_850,1,66_304
750_866,1,66_305
750_906,1,66_305
751_60,0,66_297
751_145,0,66_297
752_443,1,66_300
752_908,1,66_305
758_453,1,66_300
762_449,1,66_300
765_413,0,66_300
766_129,0,66_297
767_452,1,66_300
768_452,1,66_300
780_730,0,66_303
780_925,1,66_305
780_1405,0,66_310
784_1298,0,66_309
787_927,1,66_305
788_1433,0,66_310
790_926,1,66_305
792_684,0,66_303
799_786,0,66_304
801_438,0,66_300
801_654,1,66_303
802_101,0,66_297
806_935,1,66_305
806_937,1,66_305
807_722,0,66_303
814_1297,0,66_309
814_1408,0,66_310
815_14,0,66_296
816_878,0,66_305
820_1220,0,67_308
821_178,0,67_298
822_524,1,67_301
825_466,0,67_301
826_1489,0,67_311
827_524,1,67_301
827_978,1,67_306
828_97,0,67_297
832_990,1,67_306
840_198,0,67_298
842_1240,0,67_308
848_85,0,67_297
851_953,0,67_305
854_110,0,67_297
854_858,0,67_305
856_147,0,67_297
856_1234,0,67_308
857_241,0,67_298
860_711,0,67_303
860_1568,0,67_312
869_1488,0,67_311
870_1206,0,67_308
870_1438,0,67_310
872_911,0,67_305
875_463,0,67_301
875_1630,0,67_312
877_1645,0,67_312
878_1496,0,67_311
885_511,1,67_301
886_522,1,67_301
887_524,1,67_301
887_1019,0,67_306
888_520,1,67_301
889_524,1,67_301
892_524,1,67_301
894_251,0,67_298
898_1638,0,67_312
899_1425,0,67_310
903_541,1,67_301
906_656,1,67_303
909_849,0,67_304
910_140,0,67_297
911_877,0,67_305
912_1617,0,67_312
914_551,1,67_301
914_1536,0,67_311
915_1203,0,67_308
919_189,0,68_298
919_555,1,68_302
919_1247,0,68_308
925_829,0,68_304
927_907,0,68_305
927_1239,0,68_308
931_659,0,68_303
932_635,1,68_302
932_842,0,68_304
934_580,1,68_302
936_632,1,68_302
937_628,1,68_302
938_1524,0,68_311
939_320,0,68_299
940_32,0,68_296
942_891,0,68_305
944_107,0,68_297
945_33,0,68_296
945_584,0,68_302
946_1451,0,68_310
947_1256,0,68_309
948_1238,0,68_308
949_926,0,68_305
954_842,0,68_304
957_127,0,68_297
957_226,0,68_298
958_779,0,68_304
964_258,0,68_299
964_1058,0,68_307
966_677,0,68_303
970_131,0,68_297
974_800,0,68_304
975_590,0,68_302
987_224,0,68_298
988_92,0,68_297
992_1158,0,68_308
993_19,0,68_296
997_899,0,68_305
999_1162,0,68_308
1001_1328,0,68_309
1003_1062,0,68_307
1007_87,0,68_297
1008_81,0,68_297
1009_1179,0,68_308
1011_1108,0,68_307
1014_1107,0,68_307
1016_619,0,68_302
1016_1253,0,68_308
1016_1530,0,68_311
1020_1076,0,69_307
1025_201,0,69_298
1026_1098,0,69_307
1026_1319,0,69_309
1032_360,0,69_300
1034_1025,0,69_306
1036_471,0,69_301
1039_973,0,69_306
1041_497,0,69_301
1043_279,0,69_299
1045_181,0,69_298
1046_339,0,69_299
1050_433,0,69_300
1050_1505,0,69_311
1051_1104,0,69_307
1057_120,0,69_297
1058_278,0,69_299
1059_152,0,69_297
1066_289,0,69_299
1068_486,0,69_301
1068_1321,0,69_309
1077_1335,0,69_309
1078_1103,0,69_307
1083_787,0,69_304
1083_1321,0,69_309
1086_1067,0,69_307
1087_302,0,69_299
1087_1067,0,69_307
1091_321,0,69_299
1092_1117,0,69_307
1094_201,0,69_298
1097_795,0,69_304
1101_1475,0,69_311
1103_337,0,69_299
1104_399,0,69_300
1107_88,0,69_297
1107_435,0,69_300
1107_500,0,69_301
1109_795,0,69_304
1109_1267,0,69_309
1110_199,0,69_298
1111_515,0,69_301
1111_1100,0,69_307
1121_1124,0,70_307
1123_1591,0,70_312
1146_1185,0,70_308
1148_459,0,70_301
1151_1077,0,70_307
1152_1100,0,70_307
1162_368,0,70_300
1163_290,0,70_299
1165_587,0,70_302
1166_1096,0,70_307
1166_1256,0,70_309
1167_1345,0,70_309
1172_572,0,70_302
1180_41,0,70_296
1181_470,0,70_301
1182_108,0,70_297
1192_259,0,70_299
1193_167,0,70_298
1196_88,0,70_297
1200_189,0,70_298
